task: 2178,2787 | cost: 32.4196390000111
task: 4263,4676,2108 | cost: 31.277015000000574
task: 1847,4813,1175,3939,594 | cost: 422.6099294999699
task: 2101,4367,2122,3539,1831,2317,1725,4045,2936 | cost: 506.4563660000658
task: 4909,2147,3520 | cost: 88.99789499997723
task: 3546,1376,755,4996,2825,4002 | cost: 428.5031270000559
task: 4921,1463,3890,4220,3632,2872,4068,3731,3180,2600,3409,4608,2297,3799,2134 | cost: 703.035059499939
task: 4528,3540,2001,3906,767 | cost: 267.7029300000413
task: 2657,4567 | cost: 223.16987550004797
task: 2237,3942,538 | cost: 516.4267105000135
task: 2553,3749,2711,1589,3978,3397,1910,1105,4124,5038,925,3038,588 | cost: 713.6784175000344
task: 2000,1069,5028 | cost: 71.03636450000295
task: 1930,404,4045,635,4340 | cost: 462.1628209999926
task: 4577,3604,4689,2759,4469,4053 | cost: 601.4993089999621
task: 4820,3480 | cost: 156.21271949999027
task: 1743,1202,1419,4004 | cost: 523.1891749999704
task: 2574,922,3595,3014,3069,1999,1776 | cost: 1040.5207669999754
task: 256,3659,3679 | cost: 62.58199400002695
task: 2667,1281,1715,3073,3105,1108 | cost: 749.4614089999914
task: 4905,2763,24,5021,4928,1440,2090 | cost: 403.30171300001894
task: 331,4795,2162,4764 | cost: 29.215443499992944
task: 4695,3460,1455,1828,2267,2064,519,2590,4072,4189,1831 | cost: 703.325358499967
task: 4039,2728,2779 | cost: 185.82936450007992
task: 2955 | cost: 46.47590050001327
task: 2090,3227,2649,3272,4833,2466 | cost: 119.66589149994888
task: 3211,1914,922,1849,4706,4453,4853,3541,2291,4715,4388 | cost: 1314.4052924999983
task: 4798,4054,4294,2438,4030,4785,101,4611,2432,89,2166,2605,2748,1874 | cost: 2384.0721985000073
task: 1584,4552,2815,2292,2627 | cost: 456.1901365000267
task: 1066,1259,676,1833,3454,564,3135,1906,4744,4060,3228,2381,4308 | cost: 632.4805264999895
task: 3013,4267,4460,2094,1997,2482,4960,1439,717,908,3828,2820,2467 | cost: 582.6557679999951
task: 2205,3353,1087,2573,1642,1799,676 | cost: 340.534223499958
